utc_iso,sun_az_deg_from_north,sun_el_deg
2026-05-14T02:00:00Z,49.3157,0.3416
2026-05-14T02:10:00Z,51.4857,1.1714
2026-05-14T02:20:00Z,53.6432,2.0666
2026-05-14T02:30:00Z,55.7892,3.0144
2026-05-14T02:40:00Z,57.9246,4.0043
2026-05-14T02:50:00Z,60.0507,5.0297
2026-05-14T03:00:00Z,62.1684,6.0873
2026-05-14T03:10:00Z,64.2793,7.1708
2026-05-14T03:20:00Z,66.3847,8.2778
2026-05-14T03:30:00Z,68.4861,9.4057
2026-05-14T03:40:00Z,70.5851,10.5523
2026-05-14T03:50:00Z,72.6833,11.7156
2026-05-14T04:00:00Z,74.7825,12.8936
2026-05-14T04:10:00Z,76.8845,14.0845
2026-05-14T04:20:00Z,78.9914,15.2865
2026-05-14T04:30:00Z,81.105,16.4978
2026-05-14T04:40:00Z,83.2275,17.7167
2026-05-14T04:50:00Z,85.361,18.9414
2026-05-14T05:00:00Z,87.5079,20.1702
2026-05-14T05:10:00Z,89.6704,21.4014
2026-05-14T05:20:00Z,91.851,22.6331
2026-05-14T05:30:00Z,94.0522,23.8635
2026-05-14T05:40:00Z,96.2766,25.0907
2026-05-14T05:50:00Z,98.5269,26.3129
2026-05-14T06:00:00Z,100.8059,27.528
2026-05-14T06:10:00Z,103.1163,28.7339
2026-05-14T06:20:00Z,105.461,29.9287
2026-05-14T06:30:00Z,107.843,31.1099
2026-05-14T06:40:00Z,110.2652,32.2755
2026-05-14T06:50:00Z,112.7306,33.4229
2026-05-14T07:00:00Z,115.2422,34.5497
2026-05-14T07:10:00Z,117.8028,35.6533
2026-05-14T07:20:00Z,120.4153,36.7311
2026-05-14T07:30:00Z,123.0823,37.7801
2026-05-14T07:40:00Z,125.8064,38.7976
2026-05-14T07:50:00Z,128.5898,39.7804
2026-05-14T08:00:00Z,131.4346,40.7256
2026-05-14T08:10:00Z,134.3421,41.6298
2026-05-14T08:20:00Z,137.3136,42.4899
2026-05-14T08:30:00Z,140.3496,43.3026
2026-05-14T08:40:00Z,143.4498,44.0644
2026-05-14T08:50:00Z,146.6135,44.7722
2026-05-14T09:00:00Z,149.8388,45.4227
2026-05-14T09:10:00Z,153.1233,46.0126
2026-05-14T09:20:00Z,156.4634,46.539
2026-05-14T09:30:00Z,159.8545,46.9991
2026-05-14T09:40:00Z,163.2913,47.3903
2026-05-14T09:50:00Z,166.7673,47.7102
2026-05-14T10:00:00Z,170.2753,47.9571
2026-05-14T10:10:00Z,173.8075,48.1294
2026-05-14T10:20:00Z,177.3554,48.226
2026-05-14T10:30:00Z,180.9101,48.2463
2026-05-14T10:40:00Z,184.4627,48.1903
2026-05-14T10:50:00Z,188.0042,48.0581
2026-05-14T11:00:00Z,191.5259,47.8508
2026-05-14T11:10:00Z,195.0196,47.5695
2026-05-14T11:20:00Z,198.4778,47.216
2026-05-14T11:30:00Z,201.8936,46.7925
2026-05-14T11:40:00Z,205.2611,46.3012
2026-05-14T11:50:00Z,208.5753,45.745
2026-05-14T12:00:00Z,211.832,45.1267
2026-05-14T12:10:00Z,215.0284,44.4494
2026-05-14T12:20:00Z,218.1621,43.7165
2026-05-14T12:30:00Z,221.2319,42.931
2026-05-14T12:40:00Z,224.2373,42.0965
2026-05-14T12:50:00Z,227.1785,41.2161
2026-05-14T13:00:00Z,230.0562,40.2932
2026-05-14T13:10:00Z,232.8718,39.3311
2026-05-14T13:20:00Z,235.627,38.3327
2026-05-14T13:30:00Z,238.324,37.3014
2026-05-14T13:40:00Z,240.9651,36.2399
2026-05-14T13:50:00Z,243.5529,35.1511
2026-05-14T14:00:00Z,246.0902,34.0379
2026-05-14T14:10:00Z,248.5799,32.9028
2026-05-14T14:20:00Z,251.0249,31.7483
2026-05-14T14:30:00Z,253.4281,30.577
2026-05-14T14:40:00Z,255.7926,29.3912
2026-05-14T14:50:00Z,258.1212,28.1931
2026-05-14T15:00:00Z,260.4169,26.9848
2026-05-14T15:10:00Z,262.6825,25.7685
2026-05-14T15:20:00Z,264.9208,24.5462
2026-05-14T15:30:00Z,267.1345,23.3199
2026-05-14T15:40:00Z,269.3263,22.0914
2026-05-14T15:50:00Z,271.4987,20.8626
2026-05-14T16:00:00Z,273.6541,19.6353
2026-05-14T16:10:00Z,275.795,18.4112
2026-05-14T16:20:00Z,277.9237,17.1923
2026-05-14T16:30:00Z,280.0424,15.9801
2026-05-14T16:40:00Z,282.1532,14.7764
2026-05-14T16:50:00Z,284.2582,13.583
2026-05-14T17:00:00Z,286.3593,12.4016
2026-05-14T17:10:00Z,288.4584,11.2341
2026-05-14T17:20:00Z,290.5573,10.0823
2026-05-14T17:30:00Z,292.6577,8.9481
2026-05-14T17:40:00Z,294.7612,7.8338
2026-05-14T17:50:00Z,296.8694,6.7416
2026-05-14T18:00:00Z,298.9837,5.6741
2026-05-14T18:10:00Z,301.1055,4.6345
2026-05-14T18:20:00Z,303.2359,3.6288
2026-05-14T18:30:00Z,305.3763,2.6607
2026-05-14T18:40:00Z,307.5275,1.7381
2026-05-14T18:50:00Z,309.6906,0.8722
2026-05-14T19:00:00Z,311.8664,0.0759
2026-05-15T02:00:00Z,49.2201,0.5288
2026-05-15T02:10:00Z,51.3871,1.3676
2026-05-15T02:20:00Z,53.5418,2.2685
2026-05-15T02:30:00Z,55.685,3.2194
2026-05-15T02:40:00Z,57.8178,4.2109
2026-05-15T02:50:00Z,59.9413,5.2378
2026-05-15T03:00:00Z,62.0566,6.2951
2026-05-15T03:10:00Z,64.1652,7.3783
2026-05-15T03:20:00Z,66.2683,8.4848
2026-05-15T03:30:00Z,68.3676,9.6122
2026-05-15T03:40:00Z,70.4645,10.7583
2026-05-15T03:50:00Z,72.5608,11.921
2026-05-15T04:00:00Z,74.6581,13.0984
2026-05-15T04:10:00Z,76.7584,14.2887
2026-05-15T04:20:00Z,78.8636,15.4902
